subject,state,radar,start_s,end_s,duration_s,rsp_rr_bpm,ecg_hr_bpm,radar_rr_bpm,radar_hr_bpm,rr_abs_error,hr_abs_error,quality,motion_index,primary_bin,ghost_bin
S08_MDO,느린 호흡,2,338.17,388.17,50.0,6.026666735303655,84.50704225352113,6.035418281670952,45.1171875,0.008751546367297358,39.389854753521135,0.05092920927723265,0.028562169925724232,64,74
S08_MDO,느린 호흡,3,338.17,388.17,50.0,6.026666735303655,84.50704225352113,5.998027693863942,45.1171875,0.028639041439713075,39.389854753521135,0.01478326987911428,0.024553685087952623,18,59
S08_MDO,숨 참기,1,395.17,417.17,22.0,5.4931640625,83.33333333333334,9.295403389674803,45.91227366105396,3.802239327174803,37.421059672279384,0.0017448720195578902,0.025692511604565888,47,4
S08_MDO,숨 참기,2,395.17,417.17,22.0,5.4931640625,83.33333333333334,12.469603519114756,45.1171875,6.976439456614756,38.21614583333334,0.004401902661023952,0.024392119224246105,47,72
S08_MDO,숨 참기,3,395.17,417.17,22.0,5.4931640625,83.33333333333334,4.98046875,48.282894268168356,0.5126953125,35.05043906516499,0.019524931635897115,0.022700358603766332,40,84
S08_MDO,숨참기 후 호흡,1,423.17,473.17,50.0,11.229559161198239,86.70520231213874,11.296144634112368,50.909371552117356,0.06658547291412908,35.79583076002138,0.030896644207809465,0.027947660326209427,12,40
S08_MDO,숨참기 후 호흡,2,423.17,473.17,50.0,11.229559161198239,86.70520231213874,11.43592805911363,52.625750908825935,0.20636889791539126,34.0794514033128,0.05843494698982242,0.03161393819361666,19,46
S08_MDO,숨참기 후 호흡,3,423.17,473.17,50.0,11.229559161198239,86.70520231213874,5.754218714954921,45.1171875,5.475340446243318,41.58801481213874,0.02501152326094755,0.025779233328103973,62,
S08_MDO,운동 준비,1,478.17,493.17,15.0,6.605413394159344,77.51937984496124,6.163026407866211,70.1766288480293,0.44238698629313244,7.34275099693194,0.030185809249114803,0.06680015877722874,18,35
S08_MDO,운동 준비,2,478.17,493.17,15.0,6.605413394159344,77.51937984496124,6.853374965730174,45.1171875,0.24796157157082988,32.402192344961236,0.011529263536943554,0.09109304443122038,17,68
S08_MDO,운동 준비,3,478.17,493.17,15.0,6.605413394159344,77.51937984496124,7.834548052146252,45.1171875,1.2291346579869078,32.402192344961236,0.03509016571134074,0.11918490514633553,30,76
S08_MDO,스쿼트,1,493.17,553.1700000000001,60.00000000000006,5.4931640625,71.42857142857143,4.98046875,45.1171875,0.5126953125,26.31138392857143,0.055021669687615044,0.07285381044442243,15,72
