candidate,fold,seed,train_subject_n,validation_subject_n,test_subject_n,epochs_run,best_epoch,best_validation_loss,test_rr_window_mae_bpm,test_rr_window_within2,test_motion_balanced_accuracy,subject_count,rr_subject_macro_mae_bpm,rr_subject_macro_mae_sd,rr_subject_macro_within2,motion_subject_macro_balanced_accuracy,hidden_spike_rate,parameters,training_seconds
SNN_signed_rate,5,2718,19,3,5,57,42,0.14016291511927456,0.7582259774208069,0.96,1.0,5,0.7582259614127023,0.2019393775037958,0.96,1.0,0.29055564540127915,2690,13.694612900028005
SNN_delta_event,1,42,18,3,6,36,21,0.07009786695787376,1.805851697921753,0.7428571428571429,0.9904761904761905,6,1.800540011770585,1.0002806700719187,0.7441487706193589,0.990542328042328,0.29476746585634017,2690,8.1748582997825
SNN_delta_event,1,314,18,3,6,36,21,0.08826683594935177,1.930651307106018,0.7333333333333333,0.9928571428571429,6,1.9235478727089592,1.05700223500911,0.7350295673825086,0.9929232804232804,0.31137761539883085,2690,8.0887201000005
SNN_delta_event,1,2718,18,3,6,51,36,0.09277090376486706,1.9760903120040894,0.719047619047619,0.9904761904761905,6,1.9674773915400952,0.9981153073957663,0.7208761282290695,0.990542328042328,0.2989847309059567,2690,11.45210719993338
SNN_delta_event,2,42,18,3,6,48,33,0.024078620325147217,1.3991659879684448,0.7962085308056872,0.9166666666666667,6,1.4101990068919779,0.8169549952565195,0.7944677871148459,0.9166666666666666,0.29294206334484946,2690,10.794177700066939
SNN_delta_event,2,314,18,3,6,84,69,0.029408275936027323,1.4198640584945679,0.8199052132701422,0.9166666666666667,6,1.4249075819575598,0.5499390376720069,0.8196389666977902,0.9166666666666666,0.30805592603153653,2690,19.36841840017587
SNN_delta_event,2,2718,18,3,6,105,90,0.02383796674252851,1.3672832250595093,0.8388625592417062,0.9333333333333333,6,1.3771280354292934,0.6811918917797888,0.8370681605975724,0.9333333333333332,0.3064811514483558,2690,23.63148589991033
SNN_delta_event,3,42,19,3,5,55,40,0.19708150551737133,1.2974317073822021,0.8285714285714286,0.9971428571428571,5,1.2982509496966663,0.746673433830314,0.828048552754435,0.9970588235294118,0.2979635962595542,2690,13.047392099862918
SNN_delta_event,3,314,19,3,5,54,39,0.27538932488235474,1.3398927450180054,0.84,0.9942857142857142,5,1.3430530365642046,0.5554227967665533,0.839140989729225,0.9942016806722689,0.3175221085548401,2690,13.093973000068218
SNN_delta_event,3,2718,19,3,5,61,46,0.19737835845360885,1.364799976348877,0.7885714285714286,0.9971428571428571,5,1.3679303104425569,0.6071030700663648,0.7872082166199813,0.9970588235294118,0.30752590609093505,2690,14.893904500175267
SNN_delta_event,4,42,19,3,5,70,55,0.08115907280162597,1.6722190380096436,0.7727272727272727,0.8886363636363637,5,1.672548353028676,0.9555322632155122,0.7734920634920636,0.8885714285714286,0.31447197776287794,2690,16.786672600079328
SNN_delta_event,4,314,19,3,5,36,21,0.08214341152193291,1.693953275680542,0.7784090909090909,0.897159090909091,5,1.69447231323,0.9825969423633628,0.7784126984126984,0.8971428571428571,0.31097208708524704,2690,8.542634499957785
SNN_delta_event,4,2718,19,3,5,59,44,0.0887524424686784,1.6325008869171143,0.7443181818181818,0.9,5,1.6308866582598007,0.9136758626438011,0.744920634920635,0.9,0.29738484757641953,2690,14.421430099988356
SNN_delta_event,5,42,19,3,5,38,23,0.13417602005596244,0.6552881002426147,0.9714285714285714,1.0,5,0.6552881022862025,0.10653539238516689,0.9714285714285715,1.0,0.2929398740331332,2690,9.259018200216815
SNN_delta_event,5,314,19,3,5,40,25,0.11396176302038227,0.7669619917869568,0.92,1.0,5,0.7669620704650879,0.13199549019814785,0.9199999999999999,1.0,0.30886592033008736,2690,9.83318329998292
SNN_delta_event,5,2718,19,3,5,57,42,0.14109026685379059,0.7800929546356201,0.96,1.0,5,0.7800929614475796,0.16256311903398044,0.96,1.0,0.2930401060730219,2690,13.793273700168356
